"","id","time_int","exact_distance"
"1","TELL_1_6_5",1,250
"2","TELL_1_6_5",2,200
"3","TELL_3_21_5",3,50
"4","TELL_5_23_6",5,296
"5","TELL_1_6_8",4,175
"6","TELL_3_21_8",0,300
"7","TELL_3_21_8",4,275
"8","TELL_3_21_8",6,227
"9","TELL_5_10_10",2,172
"10","TELL_3_21_10",9,111
"11","TELL_2_22_11",2,92
"12","TELL_2_22_11",2,92
"13","TELL_2_22_12",1,230
"14","TELL_2_22_12",6,263
"15","KOUG_4_6_13",1,350
"16","KOUG_4_6_13",5,300
"17","TELL_2_22_13",0,116
"18","TELL_1_6_14",9,400
"19","TELL_1_19_14",5,200
"20","TELL_2_22_14",3,165
"21","TELL_2_22_14",9,395
"22","KOUG_4_21_15",2,256
"23","TELL_2_22_15",4,336
"24","KOUG_3_20_16",0,386
"25","TELL_2_22_16",0,99
"26","COUN_3_19_17",1,300
"27","TELL_2_22_18",9,160
"28","TELL_1_19_19",0,300
"29","TELL_1_19_21",7,150
"30","KOUG_4_6_24",3,NA
"31","KOUG_4_6_28",7,250
"32","KOUG_K4_T25_2",3,400
"33","COUN_C4_T21_9",9,200
"34","KOUG_K4_T17_11",1,400
"35","KOUG_K4_T17_5",4,220
"36","KOUG_K4_T28_15",3,250
"37","KOUG_K4_T28_14",3,400
"38","KOUG_K4_T28_14",3,150
"39","KOUG_K4_T28_17",0,43
"40","KOUG_K3_T17_5",9,300
"41","TELL_T3_T19_23",5,100
"42","TELL_T5_T13_2",8,267
"43","TELL_T4_T21_16",0,93
"44","TELL_T2_T14_12",2,156
"45","KOUG_K4_T7_4",5,50
"46","K4_T22_2",2,375
"47","K4_T22_2",6,381
"48","K4_T22_11",4,183
"49","T3_T6_25",4,350
"50","T3_T6_27",0,201
"51","T3_T6_27",4,378
"52","T3_T6_27",5,120
"53","K4_T16_15",3,280
"54","T2_T1_19",0,92
"55","T2_T1_19",5,222
