"terrXyear","territory","year","pres_1","pres_2","jday_1","jday_2"
"2016_T002","T002",2016,0,0,135,178
"2016_T003","T003",2016,0,0,135,180
"2016_T004","T004",2016,0,0,135,180
"2016_T005","T005",2016,0,0,134,178
"2016_T006","T006",2016,0,0,135,180
"2016_T007","T007",2016,1,1,135,178
"2016_T008","T008",2016,1,1,135,180
"2016_T009","T009",2016,0,0,135,178
"2016_T010","T010",2016,1,1,135,178
"2016_T011","T011",2016,0,0,135,178
"2016_T013","T013",2016,0,0,134,178
"2016_T014","T014",2016,0,0,135,180
"2016_T015","T015",2016,1,1,135,177
"2016_T016","T016",2016,1,1,134,177
"2016_T017","T017",2016,0,0,134,177
"2016_T019","T019",2016,1,1,136,180
"2016_T020","T020",2016,1,1,136,180
"2016_T021","T021",2016,1,0,134,178
"2016_T022","T022",2016,0,0,134,178
"2016_T023","T023",2016,1,1,134,178
"2016_T024","T024",2016,0,0,134,177
"2016_T031","T031",2016,1,1,136,180
"2016_T032","T032",2016,0,0,136,180
"2016_T036","T036",2016,0,1,134,178
"2016_T037","T037",2016,1,1,136,180
"2016_T042","T042",2016,0,0,135,177
"2016_T045","T045",2016,0,0,135,177
"2016_T046","T046",2016,0,0,135,177
"2016_T047","T047",2016,0,0,135,177
"2016_T048","T048",2016,0,NA,134,NA
"2016_T050","T050",2016,1,1,134,178
"2016_T052","T052",2016,1,1,134,178
"2016_T053","T053",2016,0,0,135,178
"2016_T054","T054",2016,0,0,135,178
"2016_T055","T055",2016,1,1,135,178
"2016_T056","T056",2016,0,0,136,180
"2016_T057","T057",2016,0,0,135,178
"2016_T058","T058",2016,0,0,135,178
"2016_T060","T060",2016,0,0,135,178
"2016_T064","T064",2016,0,0,135,178
"2016_T065","T065",2016,0,0,136,180
"2016_T066","T066",2016,0,0,136,180
"2016_T069","T069",2016,1,1,135,177
"2016_T070","T070",2016,1,0,135,177
"2016_T071","T071",2016,0,0,135,177
"2016_T073","T073",2016,1,1,135,177
"2016_T074","T074",2016,0,0,134,178
"2016_T075","T075",2016,1,1,135,177
"2016_T076","T076",2016,0,0,135,177
"2016_T077","T077",2016,1,0,134,177
"2016_T078","T078",2016,NA,0,NA,178
"2016_T080","T080",2016,1,1,136,180
"2016_T081","T081",2016,1,1,134,177
"2016_T082","T082",2016,1,0,134,177
"2016_T085","T085",2016,1,1,135,177
"2016_T086","T086",2016,0,0,134,177
"2016_T088","T088",2016,1,1,134,177
"2016_T096","T096",2016,0,0,136,179
"2016_T097","T097",2016,0,0,134,178
"2016_T099","T099",2016,0,0,136,180
"2016_T102","T102",2016,1,0,135,178
"2016_T104","T104",2016,0,0,134,177
"2016_T107","T107",2016,0,0,134,178
"2016_T110","T110",2016,0,0,135,178
"2016_T111","T111",2016,NA,0,NA,177
"2016_T116","T116",2016,0,0,136,180
"2016_T123","T123",2016,0,0,136,180
"2016_T124","T124",2016,0,0,136,180
"2016_T132","T132",2016,0,0,135,180
"2016_T134","T134",2016,0,0,134,177
"2016_T139","T139",2016,0,0,134,177
"2016_T140","T140",2016,0,0,136,180
"2016_T146","T146",2016,0,0,136,180
"2016_T148","T148",2016,0,0,135,177
"2016_T150","T150",2016,0,0,134,178
"2016_T158","T158",2016,0,0,134,178
"2016_T159","T159",2016,0,0,136,180
"2016_T167","T167",2016,0,0,136,180
"2016_T168","T168",2016,1,1,135,180
"2016_T169","T169",2016,1,1,134,178
"2016_T170","T170",2016,0,0,136,180
"2016_T172","T172",2016,0,1,135,178
"2016_T173","T173",2016,NA,1,NA,180
"2016_T174","T174",2016,0,0,135,180
"2016_T175","T175",2016,1,1,135,180
"2016_T176","T176",2016,0,0,134,178
"2016_T177","T177",2016,NA,0,NA,178
"2016_T178","T178",2016,0,0,134,178
"2016_T180","T180",2016,1,1,135,180
"2016_T181","T181",2016,0,0,134,178
"2016_T182","T182",2016,0,0,134,178
"2016_T183","T183",2016,0,0,134,178
"2016_T184","T184",2016,0,0,136,180
"2016_T185","T185",2016,0,0,136,180
"2017_T002","T002",2017,0,0,123,182
"2017_T003","T003",2017,0,0,123,182
"2017_T004","T004",2017,0,0,125,181
"2017_T005","T005",2017,1,0,125,181
"2017_T006","T006",2017,0,0,125,181
"2017_T007","T007",2017,0,0,123,182
"2017_T008","T008",2017,0,0,123,182
"2017_T009","T009",2017,0,0,123,183
"2017_T010","T010",2017,1,0,123,183
"2017_T011","T011",2017,1,0,123,183
"2017_T013","T013",2017,1,1,123,182
"2017_T014","T014",2017,1,0,123,182
"2017_T015","T015",2017,1,1,122,180
"2017_T016","T016",2017,1,1,122,183
"2017_T017","T017",2017,1,0,122,183
"2017_T019","T019",2017,1,0,125,181
"2017_T020","T020",2017,1,0,125,181
"2017_T021","T021",2017,0,0,122,180
"2017_T022","T022",2017,0,0,122,180
"2017_T023","T023",2017,1,1,122,180
"2017_T024","T024",2017,NA,0,NA,180
"2017_T025","T025",2017,0,0,122,180
"2017_T031","T031",2017,1,1,125,181
"2017_T032","T032",2017,0,0,125,181
"2017_T036","T036",2017,0,0,123,182
"2017_T037","T037",2017,1,0,125,181
"2017_T042","T042",2017,0,0,122,180
"2017_T045","T045",2017,0,0,122,180
"2017_T046","T046",2017,0,0,122,180
"2017_T047","T047",2017,1,1,122,180
"2017_T048","T048",2017,0,NA,122,NA
"2017_T050","T050",2017,0,0,122,180
"2017_T052","T052",2017,1,1,122,180
"2017_T053","T053",2017,0,0,123,182
"2017_T054","T054",2017,0,0,123,182
"2017_T055","T055",2017,1,0,123,183
"2017_T056","T056",2017,0,0,125,181
"2017_T057","T057",2017,1,1,123,182
"2017_T058","T058",2017,0,0,123,182
"2017_T060","T060",2017,0,0,123,182
"2017_T064","T064",2017,1,0,123,183
"2017_T065","T065",2017,0,0,125,181
"2017_T066","T066",2017,0,0,125,181
"2017_T069","T069",2017,1,NA,122,NA
"2017_T070","T070",2017,0,1,122,180
"2017_T071","T071",2017,0,0,122,180
"2017_T073","T073",2017,1,1,122,180
"2017_T074","T074",2017,NA,0,NA,181
"2017_T075","T075",2017,0,0,122,180
"2017_T076","T076",2017,0,0,122,180
"2017_T077","T077",2017,0,0,122,183
"2017_T078","T078",2017,0,0,122,180
"2017_T080","T080",2017,0,0,125,181
"2017_T081","T081",2017,1,0,122,183
"2017_T082","T082",2017,1,0,122,183
"2017_T085","T085",2017,0,0,122,180
"2017_T088","T088",2017,1,0,122,183
"2017_T095","T095",2017,0,NA,123,NA
"2017_T096","T096",2017,1,0,121,177
"2017_T097","T097",2017,1,0,123,182
"2017_T099","T099",2017,1,0,125,181
"2017_T102","T102",2017,0,0,123,183
"2017_T107","T107",2017,0,0,123,182
"2017_T110","T110",2017,0,0,123,183
"2017_T111","T111",2017,0,0,122,180
"2017_T116","T116",2017,0,0,125,181
"2017_T123","T123",2017,0,0,125,181
"2017_T124","T124",2017,0,0,125,181
"2017_T132","T132",2017,0,0,125,181
"2017_T134","T134",2017,0,0,122,183
"2017_T139","T139",2017,0,1,122,183
"2017_T140","T140",2017,0,0,125,181
"2017_T144","T144",2017,0,0,123,182
"2017_T146","T146",2017,0,0,125,181
"2017_T148","T148",2017,0,NA,122,NA
"2017_T150","T150",2017,0,0,122,180
"2017_T158","T158",2017,0,0,122,180
"2017_T159","T159",2017,0,0,125,181
"2017_T167","T167",2017,0,0,125,181
"2017_T168","T168",2017,1,1,125,181
"2017_T169","T169",2017,NA,0,NA,182
"2017_T170","T170",2017,0,0,125,181
"2017_T172","T172",2017,0,0,123,183
"2017_T174","T174",2017,0,0,123,182
"2017_T175","T175",2017,1,0,125,181
"2017_T176","T176",2017,0,0,125,181
"2017_T177","T177",2017,0,0,125,181
"2017_T178","T178",2017,0,0,125,181
"2017_T180","T180",2017,0,0,123,182
"2017_T181","T181",2017,NA,0,NA,182
"2017_T182","T182",2017,1,1,123,182
"2017_T183","T183",2017,1,0,123,182
"2017_T184","T184",2017,1,0,125,181
"2017_T185","T185",2017,0,1,125,181
"2018_T002","T002",2018,0,0,123,177
"2018_T003","T003",2018,0,0,123,177
"2018_T004","T004",2018,1,1,123,176
"2018_T005","T005",2018,0,0,123,176
"2018_T006","T006",2018,0,0,123,176
"2018_T007","T007",2018,0,0,124,177
"2018_T008","T008",2018,0,0,123,177
"2018_T009","T009",2018,0,0,124,176
"2018_T010","T010",2018,1,1,124,176
"2018_T011","T011",2018,1,1,124,176
"2018_T013","T013",2018,1,1,123,177
"2018_T014","T014",2018,0,0,123,177
"2018_T015","T015",2018,1,1,123,175
"2018_T016","T016",2018,1,1,125,175
"2018_T017","T017",2018,0,0,125,175
"2018_T019","T019",2018,1,1,124,176
"2018_T020","T020",2018,0,0,123,176
"2018_T021","T021",2018,1,1,123,175
"2018_T022","T022",2018,1,1,123,175
"2018_T023","T023",2018,1,1,123,175
"2018_T024","T024",2018,1,1,125,175
"2018_T025","T025",2018,0,0,123,175
"2018_T031","T031",2018,0,0,124,176
"2018_T032","T032",2018,0,0,124,176
"2018_T036","T036",2018,1,1,123,177
"2018_T037","T037",2018,1,0,124,176
"2018_T042","T042",2018,1,1,123,175
"2018_T045","T045",2018,0,0,123,175
"2018_T046","T046",2018,NA,0,NA,175
"2018_T047","T047",2018,0,0,123,175
"2018_T048","T048",2018,1,NA,123,NA
"2018_T050","T050",2018,0,0,123,175
"2018_T052","T052",2018,2,0,123,175
"2018_T053","T053",2018,0,0,124,176
"2018_T054","T054",2018,0,0,124,176
"2018_T055","T055",2018,1,0,124,176
"2018_T056","T056",2018,0,0,124,176
"2018_T057","T057",2018,1,0,123,177
"2018_T058","T058",2018,1,1,123,177
"2018_T060","T060",2018,0,0,124,177
"2018_T064","T064",2018,0,0,124,176
"2018_T065","T065",2018,0,0,124,176
"2018_T066","T066",2018,0,0,124,176
"2018_T069","T069",2018,0,0,123,175
"2018_T070","T070",2018,1,1,123,175
"2018_T071","T071",2018,0,0,123,175
"2018_T073","T073",2018,0,1,123,175
"2018_T074","T074",2018,1,1,123,176
"2018_T075","T075",2018,0,0,123,175
"2018_T076","T076",2018,0,0,123,175
"2018_T077","T077",2018,0,0,125,175
"2018_T078","T078",2018,0,0,123,175
"2018_T080","T080",2018,1,0,124,176
"2018_T081","T081",2018,1,1,125,175
"2018_T082","T082",2018,1,1,125,175
"2018_T085","T085",2018,0,0,123,175
"2018_T086","T086",2018,0,0,125,175
"2018_T088","T088",2018,1,1,125,175
"2018_T095","T095",2018,0,0,124,177
"2018_T096","T096",2018,1,0,124,176
"2018_T097","T097",2018,0,0,123,177
"2018_T099","T099",2018,0,0,124,176
"2018_T102","T102",2018,0,0,124,176
"2018_T104","T104",2018,0,0,125,175
"2018_T110","T110",2018,0,0,124,176
"2018_T111","T111",2018,0,0,123,175
"2018_T116","T116",2018,0,0,124,176
"2018_T123","T123",2018,0,0,124,176
"2018_T124","T124",2018,0,0,124,176
"2018_T132","T132",2018,0,0,123,176
"2018_T134","T134",2018,1,1,125,175
"2018_T139","T139",2018,1,1,125,175
"2018_T140","T140",2018,0,0,124,176
"2018_T144","T144",2018,0,0,123,177
"2018_T146","T146",2018,0,0,124,176
"2018_T148","T148",2018,0,0,123,175
"2018_T150","T150",2018,0,0,123,175
"2018_T158","T158",2018,0,0,123,175
"2018_T159","T159",2018,0,0,124,176
"2018_T167","T167",2018,0,NA,124,NA
"2018_T168","T168",2018,1,1,123,176
"2018_T169","T169",2018,0,0,123,177
"2018_T170","T170",2018,0,0,124,176
"2018_T172","T172",2018,0,0,124,176
"2018_T173","T173",2018,NA,0,NA,176
"2018_T174","T174",2018,0,0,123,177
"2018_T175","T175",2018,0,0,123,176
"2018_T176","T176",2018,0,0,123,176
