"","SurveyDate","SurveyYear","SurveyType","location","site_number","siteID","latitude","longitude","GyrfalconTerritory","Status","common_name"
"1","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","22","022-14 (022-08; 022",64.60325,-165.6761333,"T048","occupied","Gyrfalcon"
"2","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","550","550-14 (550A; 550-1",64.61615,-165.6738667,"T112","vacant","NULL"
"3","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","209","277-14A (277-99; 27",64.61415,-165.7166333,"T149","vacant","NULL"
"4","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","210","277-14B (210-08; 27",64.6147,-165.7187167,"T149","vacant","NULL"
"5","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","18","018-14 (018-Z; 018-",64.7221,-166.0194167,"T015","vacant","NULL"
"6","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","526A","526-14A (526-Z; 526",64.7231,-166.0213,"T015","vacant","NULL"
"7","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","526B","526-14B (526-04; 52",64.72388,-166.02333,"T015","occupied","Gyrfalcon"
"8","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","526B","526-14B (526-04; 52",64.72388,-166.02333,"T015","occupied","NULL"
"9","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","624","624-14 (624-08; 624",64.7249,-166.0243833,"T015","vacant","NULL"
"10","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","625A","625-14A (625-Z; 625",64.72511667,-166.0283333,"T015","occupied","Raven"
"11","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","201","201-14 (201F; 201-Z",64.72608,-166.03143,"T015","vacant","NULL"
"12","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","202","202-14 (202-Z; 202G",64.67898333,-166.0562667,"T148","vacant","NULL"
"13","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","320A","320-14A (320F; 320-",64.69471667,-166.121,"T085","vacant","NULL"
"14","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","194","194-14 (194-Z; 194A",64.69788333,-166.2057,"T072","vacant","NULL"
"15","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","015A","015-14A (015-08)",64.77426667,-166.2015167,"T047","vacant","NULL"
"16","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","199","199-14 (015F1; 199-",64.79321667,-166.2088167,"T076","occupied","Rough_legged Hawk"
"17","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","199","199-14 (015F1; 199-",64.79321667,-166.2088167,"T076","occupied","NULL"
"18","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","13","013-14 (013-02; 013",64.75438333,-166.3826167,"T025","vacant","NULL"
"19","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","664A","664-14A (664G; 664-",64.74568333,-166.3797167,"T045","vacant","NULL"
"20","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","664B","664-14B (664G; 664-",64.74523333,-166.3796167,"T045","vacant","NULL"
"21","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","196","629-08 (029-98; 262",64.7438,-166.3770667,"T045","vacant","NULL"
"22","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","196","629-08 (029-98; 262",64.7438,-166.3770667,"T045","vacant","NULL"
"23","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","195","195-14 (195-08; 195",64.73008333,-166.36395,"T073","vacant","NULL"
"24","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","11","011-14 (011-Z; 011F",64.68563333,-166.2962333,"T046","occupied","Golden Eagle"
"25","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","192A","192-14A (192-Z; 192",64.63935,-166.0559833,"T071","vacant","NULL"
"26","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","189","189-14 (546E; 008-9",64.56858333,-166.0556,"T070","occupied","Gyrfalcon"
"27","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","855","855-14 (189-14; 189",64.56836667,-166.0502,"T070","vacant","NULL"
"28","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","856","856-13 (546C; 855-1",64.56818333,-166.0474,"T070","vacant","NULL"
"29","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","523","523-08 (523A; 523-Z",64.56936667,-166.0435333,"T070","vacant","NULL"
"30","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","546","546-14 (546-Z; 546-",64.56526667,-166.01725,"T111","vacant","NULL"
"31","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","2","002-13 (002-Z; 002A",64.55216667,-165.8746167,"T042","occupied","Gyrfalcon"
"32","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","3","003-14 (003-Z; OO3A",64.5503,-165.86715,"T042","vacant","NULL"
"33","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","186A","186-14A (186-08A; 1",64.5506,-165.86285,"T042","vacant","NULL"
"34","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","442","442-13 (212B)",64.66477,-165.48308,"T021","occupied","Gyrfalcon"
"35","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","213","213-13 (212F2; 281-",64.66823333,-165.4769,"T021","vacant","NULL"
"36","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","212","212-13 (212G)",64.66758333,-165.4752667,"T021","occupied","Golden Eagle"
"37","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","026A","026-13 (026-08; 026",64.73188333,-165.5485167,"T049","vacant","NULL"
"38","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","28","028-13 (028-08; 028",64.73358,-165.43093,"T050","vacant","NULL"
"39","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","029A","029-14A (029-08; 02",64.7316,-165.42025,"T050","vacant","NULL"
"40","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","218A","670-08 (218F1; 218-",64.75973,-165.42073,"T022","occupied","Gyrfalcon"
"41","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","030A","030-14 (030-13; 030",64.75791667,-165.4499833,"T051","occupied","Raven"
"42","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","225","225-08 (534D)",64.80917,-165.20342,"T023","occupied","Raven"
"43","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","534","534-08 (534F)",64.80552,-165.1991,"T023","vacant","NULL"
"44","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","226","226-08 (535A)",64.80402,-165.19765,"T023","occupied","Gyrfalcon"
"45","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","535","535-08 (226B)",64.80668,-165.19303,"T023","vacant","NULL"
"46","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","215","215-13 (185-98; 283",64.79216667,-165.3486833,"T078","vacant","NULL"
"47","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","33","033-08",64.73032,-165.31505,"T052","occupied","Gyrfalcon"
"48","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","230","230-08",64.731,-165.32215,"T052","occupied","Gyrfalcon"
"49","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","419A","419-13 (419-08; 419",64.73925,-165.3437833,"T158","vacant","NULL"
"50","5/3/2018",2018,"occupancy/early survey","Seward Peninsula","231","231-13 (231F2; 768-",64.66723333,-165.3456667,"T150","vacant","NULL"
